NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+8431+86,74329901123046+[1,195;1,186;1,166;1,137]+1,171+4,5930975000000025+8+1800+1+3101+1604852217036+1604850417036
4+8546+74,2685659942627+[1,212;1,199;1,181;1,156]+1,187+4,675753055555554+8+1800+1+3141+1604852225036+1604850425036
4+8663+77,12940399169922+[1,23;1,215;1,197;1,171]+1,2032500000000002+4,61266777777778+8+1800+1+3161+1604852233036+1604850433036
4+8775+73,00333299255371+[1,243;1,234;1,209;1,189]+1,21875+4,652599166666662+8+1800+1+3181+1604852241036+1604850441036
4+8901+79,32570700073242+[1,263;1,249;1,225;1,208]+1,23625+4,882972222222225+8+1800+1+3221+1604852249036+1604850449036
4+9012+72,63404299926758+[1,281;1,262;1,244;1,22]+1,25175+4,726903333333334+8+1800+1+3241+1604852257036+1604850457036
4+9125+77,10856199645995+[1,293;1,278;1,263;1,235]+1,26725+4,67663388888889+8+1800+1+3261+1604852265036+1604850465036
4+9268+76,95604501342774+[1,315;1,299;1,282;1,253]+1,28725+4,640938055555553+8+1800+1+3301+1604852273036+1604850473036
4+9390+71,56373899841309+[1,334;1,316;1,298;1,269]+1,3042500000000001+4,600553333333329+8+1800+1+3321+1604852281036+1604850481036
4+9516+76,02859298706055+[1,35;1,335;1,311;1,291]+1,32175+4,600198888888882+8+1800+1+3341+1604852289036+1604850489036
4+9632+81,22918998718262+[1,368;1,352;1,325;1,306]+1,33775+4,711510833333327+8+1800+1+3383+1604852297036+1604850497036
4+9767+75,40571000671386+[1,386;1,373;1,347;1,321]+1,35675+4,656464166666663+8+1800+1+3403+1604852305036+1604850505036
4+9885+78,14916200256347+[1,401;1,389;1,364;1,338]+1,373+4,635434166666662+8+1800+1+3423+1604852313036+1604850513036
4+10015+78,76370599365234+[1,422;1,406;1,379;1,357]+1,391+4,6112788888888865+8+1800+1+3463+1604852321036+1604850521036
4+10124+79,98310299682618+[1,437;1,42;1,395;1,373]+1,4062500000000002+4,654046944444444+8+1800+1+3483+1604852329036+1604850529036
4+10263+76,93783499145508+[1,456;1,442;1,414;1,389]+1,42525+4,615852222222221+8+1800+1+3503+1604852337036+1604850537036
4+10369+76,06437300109863+[1,471;1,457;1,428;1,405]+1,44025+4,6414577777777755+8+1800+1+3543+1604852345036+1604850545036
4+10496+85,43191900634766+[1,489;1,481;1,441;1,421]+1,4580000000000002+4,7399072222222225+8+1800+1+3563+1604852353036+1604850553036
4+10633+84,80645399475098+[1,509;1,496;1,462;1,441]+1,4769999999999999+4,749636388888891+8+1800+1+3583+1604852361036+1604850561036
4+10741+92,82896600341797+[1,525;1,509;1,48;1,453]+1,49175+4,670022222222222+8+1800+1+3623+1604852369036+1604850569036
4+10866+78,50208500671387+[1,543;1,527;1,498;1,469]+1,50925+4,75692388888889+8+1800+1+3643+1604852377036+1604850577036
4+11003+80,17654499816895+[1,562;1,552;1,51;1,489]+1,5282499999999999+4,755309722222221+8+1800+1+3663+1604852385036+1604850585036
4+11121+81,36464399719239+[1,578;1,563;1,531;1,506]+1,5445+4,820513888888888+8+1800+1+3703+1604852393036+1604850593036
4+11248+86,24586399841309+[1,598;1,583;1,551;1,517]+1,5622500000000001+4,830767222222226+8+1800+1+3723+1604852401036+1604850601036
4+11381+85,04729000854492+[1,615;1,598;1,571;1,539]+1,5807499999999999+4,680270833333336+8+1800+1+3743+1604852409036+1604850609036
4+11510+80,71882699584961+[1,633;1,616;1,588;1,558]+1,59875+4,100263611111108+8+1800+1+3783+1604852417036+1604850617036
4+11637+82,00927799987792+[1,65;1,634;1,604;1,577]+1,61625+3,699106944444442+8+1800+1+3804+1604852425036+1604850625036
4+11767+87,9084580078125+[1,666;1,651;1,624;1,596]+1,6342500000000002+3,4252822222222203+8+1800+1+3825+1604852433036+1604850633036
4+11873+89,31807398986817+[1,677;1,666;1,637;1,616]+1,649+3,018834444444444+8+1800+1+3866+1604852441036+1604850641036
4+11984+88,28318400573731+[1,683;1,684;1,661;1,63]+1,6645+2,7785688888888878+8+1800+1+3888+1604852449036+1604850649036
4+12079+88,81408000183106+[1,691;1,697;1,678;1,645]+1,67775+2,484379444444444+8+1800+1+3908+1604852457036+1604850657036
4+12182+93,68912100219727+[1,698;1,708;1,699;1,663]+1,692+2,1934680555555555+8+1800+1+3928+1604852465036+1604850665036
4+12249+88,8683809967041+[1,703;1,711;1,709;1,682]+1,70125+1,965107222222223+8+1800+1+3968+1604852473036+1604850673036
4+12336+95,3733099975586+[1,71;1,721;1,722;1,701]+1,7135000000000002+1,7789305555555548+8+1800+1+3988+1604852481036+1604850681036
4+12397+89,9289349975586+[1,714;1,726;1,733;1,714]+1,7217500000000001+1,724492777777777+8+1800+1+4008+1604852489036+1604850689036
4+12452+98,73704598999024+[1,721;1,733;1,737;1,727]+1,7295000000000003+1,6182016666666668+8+1800+1+4048+1604852497036+1604850697036
4+12499+91,45486199951172+[1,726;1,74;1,742;1,736]+1,736+1,610539444444444+8+1800+1+4068+1604852505036+1604850705036
4+12556+95,10973500061036+[1,735;1,744;1,75;1,747]+1,744+1,5637155555555555+8+1800+1+4088+1604852513036+1604850713036
4+12593+92,1224649963379+[1,738;1,749;1,756;1,753]+1,749+1,4719436111111113+8+1800+1+4128+1604852521036+1604850721036
4+12634+97,98375500488281+[1,744;1,755;1,762;1,758]+1,7547499999999998+1,5254344444444443+8+1800+1+4148+1604852529036+1604850729036
4+12677+92,13380000305176+[1,748;1,762;1,765;1,768]+1,7607499999999998+1,560397777777778+8+1800+1+4168+1604852537036+1604850737036
4+12717+100,73531900024415+[1,754;1,768;1,772;1,771]+1,76625+1,4505405555555553+8+1800+1+4208+1604852545036+1604850745036
4+12762+91,84465998840332+[1,761;1,773;1,777;1,779]+1,7725+1,5222830555555549+8+1800+1+4228+1604852553036+1604850753036
4+12807+92,11306900024414+[1,768;1,778;1,783;1,786]+1,77875+1,5768458333333333+8+1800+1+4248+1604852561036+1604850761036
4+12843+109,60698001098633+[1,774;1,783;1,789;1,788]+1,7835+1,551908333333332+8+1800+1+4288+1604852569036+1604850769036
4+12876+101,5522740020752+[1,779;1,785;1,795;1,794]+1,7882500000000001+1,5627269444444434+8+1800+1+4308+1604852577036+1604850777036
4+12935+93,98237001037597+[1,788;1,796;1,801;1,801]+1,7965+1,615006666666666+8+1800+1+4329+1604852585036+1604850785036
4+12970+103,84072499084472+[1,792;1,801;1,807;1,806]+1,8015+1,577006944444444+8+1800+1+4369+1604852593036+1604850793036
4+13010+103,28258599853515+[1,799;1,806;1,812;1,811]+1,807+1,614437499999999+8+1800+1+4389+1604852601036+1604850801036
4+13072+104,47256700134277+[1,807;1,814;1,822;1,819]+1,8155+1,6340574999999995+8+1800+1+4409+1604852609036+1604850809036
4+13100+106,07385600280762+[1,81;1,819;1,827;1,822]+1,8195+1,56861111111111+8+1800+1+4451+1604852617036+1604850817036
4+13139+102,96126600646973+[1,817;1,822;1,833;1,828]+1,8250000000000002+1,4958363888888886+8+1800+1+4471+1604852625036+1604850825036
4+13193+110,83770599365235+[1,823;1,827;1,842;1,837]+1,83225+1,4680466666666665+8+1800+1+4491+1604852633036+1604850833036
4+13227+100,38081999206543+[1,829;1,831;1,844;1,843]+1,83675+1,520853333333332+8+1800+1+4531+1604852641036+1604850841036
4+13275+101,30059100341796+[1,837;1,837;1,851;1,85]+1,84375+1,5358772222222226+8+1800+1+4552+1604852649036+1604850849036
4+13310+105,6411900024414+[1,843;1,841;1,854;1,856]+1,8485+1,5818825000000007+8+1800+1+4572+1604852657036+1604850857036
4+13347+100,89310899353028+[1,849;1,848;1,858;1,861]+1,8539999999999999+1,6292502777777789+8+1800+1+4592+1604852665036+1604850865036
4+13384+93,47915699768066+[1,854;1,853;1,864;1,864]+1,85875+1,7116388888888887+8+1800+1+4633+1604852673036+1604850873036
4+13425+98,33675900268555+[1,859;1,86;1,872;1,868]+1,8647500000000001+1,691843333333333+8+1800+1+4656+1604852681036+1604850881036
4+13477+103,62897200012208+[1,865;1,868;1,881;1,874]+1,8719999999999999+1,6333911111111103+8+1800+1+4676+1604852689036+1604850889036
4+13513+104,62577499389648+[1,871;1,871;1,886;1,879]+1,87675+1,6025969444444441+8+1800+1+4719+1604852697036+1604850897036
4+13561+100,86786698913575+[1,877;1,879;1,891;1,888]+1,88375+1,6287575000000003+8+1800+1+4739+1604852705036+1604850905036
4+13607+102,3348330078125+[1,881;1,883;1,901;1,895]+1,8900000000000001+1,580781666666667+8+1800+1+4760+1604852713036+1604850913036
4+13647+104,13171099853515+[1,886;1,891;1,905;1,899]+1,89525+1,525611944444445+8+1800+1+4783+1604852721036+1604850921036
4+13687+113,07461799621582+[1,891;1,896;1,909;1,909]+1,9012499999999999+1,5737011111111108+8+1800+1+4824+1604852729036+1604850929036
4+13734+101,15375799560547+[1,896;1,902;1,916;1,916]+1,9075000000000002+1,5521480555555554+8+1800+1+4844+1604852737036+1604850937036
4+13770+102,51281700134277+[1,902;1,907;1,921;1,92]+1,9125+1,5806299999999998+8+1800+1+4867+1604852745036+1604850945036
4+13814+108,9472799987793+[1,907;1,912;1,929;1,927]+1,9187500000000002+1,5985291666666666+8+1800+1+4888+1604852753036+1604850953036
4+13857+108,58626100158692+[1,913;1,918;1,935;1,933]+1,92475+1,5589055555555549+8+1800+1+4928+1604852761036+1604850961036
4+13904+112,4293159942627+[1,921;1,925;1,938;1,941]+1,93125+1,579345833333333+8+1800+1+4948+1604852769036+1604850969036
4+13951+108,26714500427246+[1,926;1,933;1,946;1,946]+1,9377499999999999+1,5852152777777782+8+1800+1+4968+1604852777036+1604850977036
4+13984+108,2403150024414+[1,929;1,939;1,95;1,95]+1,9420000000000002+1,649855833333335+8+1800+1+5010+1604852785036+1604850985036
4+14025+110,84426200866699+[1,934;1,944;1,959;1,953]+1,9475+1,5463994444444442+8+1800+1+5032+1604852793036+1604850993036
4+14070+114,5712740020752+[1,943;1,951;1,966;1,957]+1,95425+1,508653333333334+8+1800+1+5055+1604852801036+1604851001036
4+14113+109,53885700988769+[1,946;1,956;1,97;1,968]+1,96+1,5415713888888887+8+1800+1+5095+1604852809036+1604851009036
4+14149+109,52744999694825+[1,951;1,961;1,974;1,974]+1,965+1,5503161111111103+8+1800+1+5116+1604852817036+1604851017036
4+14191+111,32456700134277+[1,958;1,966;1,981;1,979]+1,971+1,5480158333333327+8+1800+1+5138+1604852825036+1604851025036
4+14235+112,49734298706055+[1,964;1,973;1,987;1,984]+1,977+1,5345219444444433+8+1800+1+5158+1604852833036+1604851033036
4+14268+277,1835950012207+[1,968;1,977;1,992;1,989]+1,9815+1,5306702777777772+8+1800+1+5198+1604852841036+1604851041036
