NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+2215+61,50093899536133+[0,878;0,893;0,963;0,957]+0,92275+0,5284947222222227+8+600+0,6591796875+2280+1604870852300+1604870252300
4+2197+62,655503005981444+[0,865;0,882;0,955;0,96]+0,9155+0,5191400000000004+8+600+0,6591796875+2292+1604870860300+1604870260300
4+2188+67,36547898864747+[0,862;0,873;0,952;0,96]+0,91175+0,511388888888889+8+600+0,494384765625+2308+1604870868300+1604870268300
4+2137+62,2343630065918+[0,843;0,847;0,932;0,94]+0,8905+0,471388888888889+8+600+0,494384765625+2356+1604870876300+1604870276300
4+2125+63,65465599060059+[0,837;0,843;0,928;0,933]+0,8852500000000001+0,48527777777777825+8+600+0,494384765625+2380+1604870884300+1604870284300
4+2102+60,47131399536133+[0,827;0,84;0,908;0,928]+0,8757499999999999+0,4784444444444443+8+600+0,494384765625+2404+1604870892300+1604870292300
4+2085+63,891843002319334+[0,82;0,832;0,902;0,922]+0,869+0,5177222222222225+8+600+0,494384765625+2460+1604870900300+1604870300300
4+2066+68,03040100097657+[0,813;0,825;0,89;0,915]+0,86075+0,5309125000000002+8+600+0,494384765625+2488+1604870908300+1604870308300
4+2025+65,68718800354004+[0,787;0,815;0,877;0,897]+0,8440000000000001+0,5268844444444446+8+600+0,494384765625+2516+1604870916300+1604870316300
4+2000+64,79965399169922+[0,772;0,812;0,862;0,888]+0,8335+0,5463888888888887+8+600+0,494384765625+2572+1604870924300+1604870324300
4+1971+68,21116299438476+[0,762;0,792;0,852;0,88]+0,8215+0,5280555555555555+8+600+0,494384765625+2600+1604870932300+1604870332300
4+1950+72,2402019958496+[0,758;0,782;0,847;0,863]+0,8125+0,47722222222222244+8+600+0,37078857421875+2632+1604870940300+1604870340300
4+1905+68,44437300109863+[0,742;0,763;0,822;0,848]+0,79375+0,4616666666666669+8+600+0,37078857421875+2720+1604870948300+1604870348300
4+1885+69,49418998718262+[0,732;0,75;0,812;0,848]+0,7855+0,48972222222222234+8+600+0,37078857421875+2764+1604870956300+1604870356300
