NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+2765+78,30659400939942+[0,401;0,386;0,381;0,369]+0,38425000000000004+1,6860258333333333+8+1800+1+3080+1604879213046+1604877413046
4+2801+70,78599101257325+[0,404;0,393;0,384;0,375]+0,389+1,6796805555555545+8+1800+1+3120+1604879221046+1604877421046
4+2853+70,14436299133301+[0,412;0,399;0,392;0,382]+0,39625+1,574692222222222+8+1800+1+3140+1604879229046+1604877429046
4+2894+71,76234899902343+[0,42;0,403;0,397;0,388]+0,402+1,5954266666666665+8+1800+1+3160+1604879237046+1604877437046
4+2941+75,45714700317383+[0,426;0,408;0,404;0,396]+0,4085+1,5916269444444449+8+1800+1+3200+1604879245046+1604877445046
4+2983+76,18358499145508+[0,429;0,416;0,411;0,401]+0,41425+1,5931100000000011+8+1800+1+3220+1604879253046+1604877453046
4+3027+78,34149200439452+[0,434;0,424;0,416;0,407]+0,42025+1,5831130555555555+8+1800+1+3240+1604879261046+1604877461046
4+3065+75,74967700195313+[0,441;0,428;0,422;0,412]+0,42574999999999996+1,575286388888888+8+1800+1+3280+1604879269046+1604877469046
4+3105+73,97105700683593+[0,443;0,433;0,431;0,418]+0,43124999999999997+1,4666949999999999+8+1800+1+3300+1604879277046+1604877477046
4+3155+85,08840200805665+[0,449;0,442;0,437;0,424]+0,438+1,4488402777777774+8+1800+1+3321+1604879285046+1604877485046
4+3187+75,82834001159668+[0,453;0,444;0,439;0,434]+0,4425+1,420429166666667+8+1800+1+3361+1604879293046+1604877493046
4+3229+80,38504299926758+[0,46;0,451;0,446;0,437]+0,4485+1,4253375000000004+8+1800+1+3381+1604879301046+1604877501046
4+3267+82,56119801330567+[0,465;0,457;0,449;0,443]+0,4535+1,4932027777777779+8+1800+1+3401+1604879309046+1604877509046
